dataset,extraction,layer,auc_vs_all_controls,auc_vs_neutral,auc_std
S2_1P,mean,16,0.9179999999999999,0.89,0.03276430985081174
S2_1P,mean,17,0.9285,0.8905000000000001,0.032194720064010494
S2_1P,mean,18,0.9355,0.8995000000000001,0.026897955312625507
S2_1P,mean,19,0.944,0.905,0.024929901724635842
S2_1P,mean,20,0.9399999999999998,0.905,0.03166228039797512
S2_1P,mean,21,0.9410000000000001,0.9055,0.029351320242878353
S2_1P,mean,22,0.953,0.9105000000000001,0.027991070004556827
S2_1P,mean,23,0.9560000000000001,0.9075,0.029816103031751143
S2_1P,mean,24,0.96,0.913,0.02371708245126282
S2_1P,mean,25,0.9570000000000001,0.9120000000000001,0.026617663308412323
S2_1P,mean,26,0.958,0.9120000000000001,0.027449954462621603
S2_1P,mean,27,0.9570000000000001,0.9085000000000001,0.0292574776766556
S2_1P,mean,28,0.9585000000000001,0.908,0.025524498036200438
S2_1P,mean,29,0.958,0.9115,0.022438805672316913
S2_1P,mean,30,0.958,0.9065,0.02014944167960985
S2_1P,mean,31,0.9575000000000001,0.9069999999999998,0.018641351882307252
S2_1P,mean,32,0.9605,0.9129999999999999,0.016763054614240255
S2_1P,mean,33,0.958,0.9129999999999999,0.02277059507347141
S2_1P,mean,34,0.9620000000000001,0.9119999999999999,0.02198863342729605
S2_1P,mean,35,0.966,0.9309999999999998,0.02305428376679704
S2_1P,mean,36,0.9639999999999999,0.9275,0.02571964229922333
S2_1P,mean,37,0.9625,0.9285,0.027703790354390124
S2_1P,mean,38,0.9644999999999999,0.9259999999999998,0.03344398301638128
S2_1P,mean,39,0.961,0.9204999999999999,0.029266021253323768
S2_1P,mean,40,0.9555000000000001,0.9155,0.03238054971738436
S2_1P,mean,41,0.954,0.9155000000000001,0.035658098659350844
S2_1P,mean,42,0.9545,0.916,0.039350984739901985
S2_1P,mean,43,0.9520000000000002,0.9135,0.03890372732785381
S2_1P,mean,44,0.9475,0.9115,0.03286335345030996
S2_1P,mean,45,0.9410000000000001,0.9084999999999999,0.03363777638310831
S2_1P,mean,46,0.937,0.9045,0.031440419844524996
S2_1P,mean,47,0.9324999999999999,0.9039999999999999,0.03070016286601754
S2_1P,mean,48,0.931,0.9065000000000001,0.03397057550292609
S2_1P,mean,49,0.9339999999999999,0.9075000000000001,0.03408078637590398
S2_1P,mean,50,0.9355,0.9045,0.03159905061864994
S2_1P,mean,51,0.943,0.9085000000000001,0.0379275625370258
S2_1P,mean,52,0.946,0.9099999999999999,0.035937445652132825
S2_1P,mean,53,0.945,0.906,0.03567211796347397
S2_1P,mean,54,0.9475,0.905,0.03413209633175203
S2_1P,mean,55,0.9535,0.9095000000000001,0.033674916480965475
S2_1P,mean,56,0.9540000000000001,0.9125,0.033860005906674054
S2_1P,mean,57,0.9535,0.914,0.03562302626111374
S2_1P,mean,58,0.9480000000000001,0.9125,0.033294143629172976
S2_1P,mean,59,0.9515,0.9225,0.03466266002487405
S2_1P,mean,60,0.952,0.9215,0.03440203482353915
S2_1P,mean,61,0.9490000000000001,0.921,0.035552777669262375
S2_1P,mean,62,0.942,0.9125,0.03706076092041283
S2_1P,mean,63,0.9085000000000001,0.8949999999999999,0.03537654590261748
S2_3P,mean,0,0.8540000000000001,0.805,0.05132250968142538
S2_3P,mean,1,0.8564999999999999,0.7965000000000001,0.05651548460377921
S2_3P,mean,2,0.8709999999999999,0.8335000000000001,0.05769748694700663
S2_3P,mean,3,0.8815,0.8310000000000001,0.05053711507397309
S2_3P,mean,4,0.8785000000000001,0.8285,0.050980388386123586
S2_3P,mean,5,0.8885,0.8255000000000001,0.05016472864473606
S2_3P,mean,6,0.9125,0.827,0.04378926809162265
S2_3P,mean,7,0.9205,0.8595,0.037696153649941576
S2_3P,mean,8,0.9245000000000001,0.8639999999999999,0.03264965543462905
S2_3P,mean,9,0.9259999999999999,0.852,0.034698703145795
S2_3P,mean,10,0.938,0.8465,0.025416530054277704
S2_3P,mean,11,0.937,0.8640000000000001,0.02938537050983024
