model,extraction,dataset,layer,auc_vs_all_controls,auc_vs_neutral,auc_std
Bonsai_2_27B_ternary,final_token,S1_3P,16,0.8630000000000001,0.8299999999999998,0.05801723881744114
Bonsai_2_27B_ternary,final_token,S1_3P,17,0.8605,0.8445,0.05863872440631704
Bonsai_2_27B_ternary,final_token,S1_3P,18,0.8545,0.843,0.061895072501775124
Bonsai_2_27B_ternary,final_token,S1_3P,19,0.8564999999999999,0.8394999999999999,0.06404295433535216
Bonsai_2_27B_ternary,final_token,S1_3P,20,0.859,0.8345,0.06645675285477017
Bonsai_2_27B_ternary,final_token,S1_3P,21,0.8515,0.8310000000000001,0.06220128616033593
Bonsai_2_27B_ternary,final_token,S1_3P,22,0.857,0.8355,0.07062931402753395
Bonsai_2_27B_ternary,final_token,S1_3P,23,0.8515,0.826,0.06922066165531794
Bonsai_2_27B_ternary,final_token,S1_3P,24,0.8370000000000001,0.8275,0.07722370102500915
Bonsai_2_27B_ternary,final_token,S1_3P,25,0.833,0.8265,0.077756028705175
Bonsai_2_27B_ternary,final_token,S1_3P,26,0.8379999999999999,0.8305000000000001,0.07216993834000417
Bonsai_2_27B_ternary,final_token,S1_3P,27,0.8440000000000001,0.8254999999999999,0.06776060802560731
Bonsai_2_27B_ternary,final_token,S1_3P,28,0.844,0.8295000000000001,0.07173911067193407
Bonsai_2_27B_ternary,final_token,S1_3P,29,0.8404999999999999,0.8200000000000001,0.07386474125047753
Bonsai_2_27B_ternary,final_token,S1_3P,30,0.8469999999999999,0.8175000000000001,0.0632929695937867
Bonsai_2_27B_ternary,final_token,S1_3P,31,0.85,0.8175000000000001,0.06513447627792826
Bonsai_2_27B_ternary,final_token,S1_3P,32,0.8565000000000002,0.818,0.06065476073648299
Bonsai_2_27B_ternary,final_token,S1_3P,33,0.8614999999999998,0.82,0.05056184332082845
Bonsai_2_27B_ternary,final_token,S1_3P,34,0.866,0.8215,0.04763402145525826
Bonsai_2_27B_ternary,final_token,S1_3P,35,0.8664999999999999,0.825,0.047132791133137876
Bonsai_2_27B_ternary,final_token,S1_3P,36,0.8755000000000001,0.8314999999999999,0.04667440412045985
Bonsai_2_27B_ternary,final_token,S1_3P,37,0.8724999999999999,0.8290000000000001,0.048166378315169206
Bonsai_2_27B_ternary,final_token,S1_3P,38,0.8714999999999999,0.8295,0.05095586325438907
Bonsai_2_27B_ternary,final_token,S1_3P,39,0.8664999999999999,0.8265,0.051927834539868906
Bonsai_2_27B_ternary,final_token,S1_3P,40,0.8634999999999999,0.8240000000000001,0.0475026315060545
Bonsai_2_27B_ternary,final_token,S1_3P,41,0.8725000000000002,0.8245000000000001,0.04644889664997435
Bonsai_2_27B_ternary,final_token,S1_3P,42,0.8734999999999999,0.8275,0.04267903466574659
Bonsai_2_27B_ternary,final_token,S1_3P,43,0.873,0.8305,0.044788391353117386
Bonsai_2_27B_ternary,final_token,S1_3P,44,0.8725000000000002,0.8345,0.06839225102305085
Bonsai_2_27B_ternary,final_token,S1_3P,45,0.8685,0.829,0.07258787777583797
Bonsai_2_27B_ternary,final_token,S1_3P,46,0.868,0.8314999999999999,0.0717878819857502
Bonsai_2_27B_ternary,final_token,S1_3P,47,0.8724999999999999,0.836,0.06471089552772394
Bonsai_2_27B_ternary,final_token,S1_3P,48,0.8744999999999999,0.8334999999999999,0.06792275023878233
Bonsai_2_27B_ternary,final_token,S1_3P,49,0.8745,0.8385,0.058702640485756664
Bonsai_2_27B_ternary,final_token,S1_3P,50,0.8935000000000001,0.8365,0.04202975136733502
Bonsai_2_27B_ternary,final_token,S1_3P,51,0.9014999999999999,0.8470000000000001,0.03345145736735546
Bonsai_2_27B_ternary,final_token,S1_3P,52,0.897,0.8440000000000001,0.03960429269662571
Bonsai_2_27B_ternary,final_token,S1_3P,53,0.8945000000000001,0.8380000000000001,0.039572717874818725
Bonsai_2_27B_ternary,final_token,S1_3P,54,0.8895,0.8405000000000001,0.03658551625985343
Bonsai_2_27B_ternary,final_token,S1_3P,55,0.893,0.8450000000000001,0.02847806173179629
Bonsai_2_27B_ternary,final_token,S1_3P,56,0.893,0.8385,0.025069902273443318
Bonsai_2_27B_ternary,final_token,S1_3P,57,0.8869999999999999,0.8365,0.0312809846392341
Bonsai_2_27B_ternary,final_token,S1_3P,58,0.8774999999999998,0.833,0.03387476937190865
Bonsai_2_27B_ternary,final_token,S1_3P,59,0.8865000000000001,0.8325000000000001,0.02922327839240487
Bonsai_2_27B_ternary,final_token,S1_3P,60,0.89,0.8255000000000001,0.027156951228000565
Bonsai_2_27B_ternary,final_token,S1_3P,61,0.8915000000000001,0.829,0.02369599122214561
Bonsai_2_27B_ternary,final_token,S1_3P,62,0.8905,0.8295,0.027811867970346783
Bonsai_2_27B_ternary,final_token,S1_3P,63,0.853,0.8240000000000001,0.04835803966250079
Bonsai_2_27B_ternary,mean,S1_1P,0,0.7795,0.7555,0.044536501883286735
Bonsai_2_27B_ternary,mean,S1_1P,1,0.7969999999999999,0.7695,0.05237843067523118
Bonsai_2_27B_ternary,mean,S1_1P,2,0.8194999999999999,0.7855,0.05383771911959122
Bonsai_2_27B_ternary,mean,S1_1P,3,0.817,0.7649999999999999,0.04699468055003672
Bonsai_2_27B_ternary,mean,S1_1P,4,0.8100000000000002,0.7635,0.037914377220257776
Bonsai_2_27B_ternary,mean,S1_1P,5,0.8135,0.776,0.04961350622562366
Bonsai_2_27B_ternary,mean,S1_1P,6,0.835,0.8105,0.04829596256417305
Bonsai_2_27B_ternary,mean,S1_1P,7,0.845,0.8165000000000001,0.0430987238790199
Bonsai_2_27B_ternary,mean,S1_1P,8,0.857,0.8135,0.039855990766759275
Bonsai_2_27B_ternary,mean,S1_1P,9,0.857,0.8160000000000001,0.041815069054110136
Bonsai_2_27B_ternary,mean,S1_1P,10,0.8714999999999999,0.8180000000000002,0.03635244145858705
Bonsai_2_27B_ternary,mean,S1_1P,11,0.889,0.8210000000000001,0.0281780056072107
Bonsai_2_27B_ternary,mean,S1_1P,12,0.8735000000000002,0.8160000000000001,0.027820855486487103
Bonsai_2_27B_ternary,mean,S1_1P,13,0.8800000000000001,0.8109999999999999,0.03189827581547317
Bonsai_2_27B_ternary,mean,S1_1P,14,0.885,0.8119999999999999,0.030903074280724835
Bonsai_2_27B_ternary,mean,S1_1P,15,0.889,0.8099999999999999,0.02686075203712656
Bonsai_2_27B_ternary,mean,S1_1P,16,0.8905000000000001,0.8125,0.032031234756093964
Bonsai_2_27B_ternary,mean,S1_1P,17,0.8885,0.8099999999999999,0.0354118624192515
